,,,,,,,,,,,,
,,,,,,,,,,,,
Total Samples,,20,,,,,,,,,,
Pending Verification,,6,,,,,,,,,,
Temperature alerts,,2,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample ID,Priority,Date Due,Date Received,Time Received,Hour,Department,Temperature (2 - 8 ℃ ),Status,Time in Status (hrs),Rejected,Rejection Reason,Chain of Custody
S-001,High,3/25/2024,3/25/2024,8:15:00 AM,8,Microbiology,2,Completed,24,FALSE,N/A,Verified
S-002,High,3/25/2024,3/25/2024,8:45:00 AM,8,Chemistry,4,Received,48,FALSE,N/A,Pending 
S-003,,3/25/2024,3/25/2024,9:30:00 AM,9,Microbiology,4,Rejected,2,TRUE,Contamination,Verified
S-004,,3/25/2024,3/25/2024,10:15:00 AM,10,Manufacturing,4,Completed,12,FALSE,N/A,Pending 
S-005,,3/25/2024,3/25/2024,11:00:00 AM,11,Chemistry,2,Received,72,FALSE,N/A,Verified
S-006,,3/20/2024,3/25/2024,1:45:00 PM,13,Microbiology,2,Completed,18,FALSE,N/A,Verified
S-007,High,3/25/2024,3/25/2024,2:20:00 PM,14,Chemistry,2,Rejected,4,TRUE,Label Error,Pending 
S-008,,3/25/2024,3/25/2024,3:00:00 PM,15,Manufacturing,6,Completed,8,FALSE,N/A,Pending 
S-009,,3/25/2024,3/25/2024,4:30:00 PM,16,Microbiology,7,Reserved,96,FALSE,N/A,Pending 
S-010,,3/23/2024,3/25/2024,7:15:00 PM,19,Chemistry,8,Completed,20,FALSE,N/A,Verified
S-011,,3/25/2024,3/25/2024,8:45:00 PM,20,Manufacturing,9,Rejected,1,TRUE,Temperature Excursion,Verified
S-012,,3/27/2024,3/25/2024,9:30:00 PM,21,Microbiology,1,Completed,30,FALSE,N/A,Verified
S-013,,3/25/2024,3/25/2024,10:00:00 PM,22,Chemistry,1,Received,120,FALSE,N/A,Verified
S-014,,3/28/2024,3/26/2024,11:15:00 PM,23,Manufacturing,1,Completed,6,FALSE,N/A,Pending 
S-015,High,3/26/2024,3/26/2024,12:45:00 AM,0,Microbiology,3,In Testing,3,TRUE,Expired Sample,Verified
S-016,,3/26/2024,3/26/2024,2:30:00 AM,2,Chemistry,3,Completed,36,FALSE,N/A,Verified
S-017,,3/28/2024,3/26/2024,5:00:00 AM,5,Manufacturing,5,In Testing,60,FALSE,N/A,Verified
S-018,High,3/26/2024,3/26/2024,7:15:00 AM,7,Microbiology,7,Completed,14,FALSE,N/A,Verified
S-019,,3/28/2024,3/26/2024,8:00:00 AM,8,Chemistry,8,Completed,2,TRUE,Contamination,Verified
S-020,,3/26/2024,3/26/2024,9:45:00 AM,9,Manufacturing,9,Completed,10,FALSE,N/A,Verified
